"anio_hecho","mes_hecho","tipo_delito_mas_comun","cantidad_delito_mas_comun"
"1995","Junio","FALSIFICACION DE DOCUMENTOS","3"
"1995","Febrero","DENUNCIA DE HECHOS","3"
"1995","Enero","FALSIFICACION DE DOCUMENTOS","3"
"1995","Diciembre","FALSEDAD DE DECLARACIONES","3"
"1995","Agosto","TORTURA","3"
"1996","Octubre","DENUNCIA DE HECHOS","3"
"1996","Noviembre","VIOLACION","3"
"1996","Mayo","DENUNCIA DE HECHOS","3"
"1996","Marzo","DAÑO EN PROPIEDAD AJENA CULPOSA","3"
"1996","Junio","FRAUDE","3"
"1996","Julio","LA ADMINISTRACION DE JUSTICIA","3"
"1996","Febrero","DENUNCIA DE HECHOS","3"
"1996","Enero","ABUSO SEXUAL","3"
"1996","Diciembre","FRAUDE","6"
"1996","Abril","DENUNCIA DE HECHOS","3"
"1997","Septiembre","FRAUDE","3"
"1997","Noviembre","FRAUDE","3"
"1997","Mayo","FRAUDE","3"
"1997","Marzo","ROBO DE OBJETOS DEL INTERIOR DE UN VEHICULO","3"
"1997","Junio","ROBO DE DINERO","3"
"1997","Julio","TORTURA","9"
"1997","Febrero","DENUNCIA DE HECHOS","3"
"1997","Enero","FRAUDE","3"
"1997","Diciembre","DAÑO EN PROPIEDAD AJENA CULPOSA","3"
"1997","Abril","TORTURA","12"
"1998","Septiembre","FRAUDE","3"
"1998","Noviembre","DENUNCIA DE HECHOS","3"
"1998","Mayo","FALSIFICACION DE TITULOS AL PORTADOR Y DOCUMENTOS DE CREDITO PUBLICO","3"
"1998","Marzo","FRAUDE","3"
"1998","Junio","NARCOMENUDEO POSESION SIMPLE","3"
"1998","Febrero","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","3"
"1998","Enero","FRAUDE","9"
"1998","Diciembre","DESPOJO","3"
"1998","Abril","DAÑO EN PROPIEDAD AJENA CULPOSA","3"
"1999","Septiembre","FRAUDE","3"
"1999","Octubre","TORTURA","6"
"1999","Noviembre","DENUNCIA DE HECHOS","3"
"1999","Mayo","DENUNCIA DE HECHOS","3"
"1999","Marzo","TORTURA","3"
"1999","Junio","TORTURA","9"
"1999","Julio","TORTURA","6"
"1999","Febrero","DENUNCIA DE HECHOS","3"
"1999","Enero","ABUSO SEXUAL","3"
"1999","Diciembre","BIGAMIA","3"
"1999","Agosto","FALSEDAD DE DECLARACIONES","3"
"1999","Abril","DENUNCIA DE HECHOS","3"
"2000","Septiembre","DENUNCIA DE HECHOS","9"
"2000","Octubre","ABUSO DE AUTORIDAD","3"
"2000","Noviembre","FRAUDE","6"
"2000","Mayo","FRAUDE","6"
"2000","Marzo","DENUNCIA DE HECHOS","3"
"2000","Junio","FRAUDE","6"
"2000","Julio","FRAUDE","6"
"2000","Febrero","TORTURA","6"
"2000","Enero","INSOLVENCIA ALIMENTARIA","3"
"2000","Diciembre","FEMINICIDIO","3"
"2000","Agosto","FRAUDE","3"
"2000","Abril","DENUNCIA DE HECHOS","3"
"2001","Septiembre","DENUNCIA DE HECHOS","9"
"2001","Octubre","FRAUDE","9"
"2001","Noviembre","DESPOJO","6"
"2001","Mayo","AMENAZAS","3"
"2001","Marzo","ABUSO SEXUAL","3"
"2001","Junio","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","9"
"2001","Julio","DESPOJO","6"
"2001","Febrero","TORTURA","12"
"2001","Enero","DENUNCIA DE HECHOS","9"
"2001","Diciembre","DENUNCIA DE HECHOS","6"
"2001","Agosto","ABUSO SEXUAL","6"
"2001","Abril","TORTURA","6"
"2002","Septiembre","DENUNCIA DE HECHOS","6"
"2002","Octubre","ABANDONO DE PERSONA","3"
"2002","Noviembre","FRAUDE","3"
"2002","Mayo","ABUSO SEXUAL","3"
"2002","Marzo","INSOLVENCIA ALIMENTARIA","3"
"2002","Junio","DENUNCIA DE HECHOS","3"
"2002","Julio","ABANDONO DE PERSONA","3"
"2002","Febrero","DENUNCIA DE HECHOS","3"
"2002","Enero","VIOLENCIA FAMILIAR","9"
"2002","Diciembre","FRAUDE","9"
"2002","Agosto","TORTURA","6"
"2002","Abril","INSOLVENCIA ALIMENTARIA","6"
"2003","Septiembre","TORTURA","9"
"2003","Octubre","FRAUDE","9"
"2003","Noviembre","TORTURA","9"
"2003","Mayo","DENUNCIA DE HECHOS","6"
"2003","Marzo","TORTURA","9"
"2003","Junio","DESPOJO","3"
"2003","Julio","FRAUDE","9"
"2003","Febrero","INSOLVENCIA ALIMENTARIA","3"
"2003","Enero","DENUNCIA DE HECHOS","6"
"2003","Diciembre","FRAUDE","6"
"2003","Agosto","FRAUDE","12"
"2003","Abril","FRAUDE","6"
"2004","Septiembre","TORTURA","6"
"2004","Octubre","INSOLVENCIA ALIMENTARIA","6"
"2004","Noviembre","DENUNCIA DE HECHOS","12"
"2004","Mayo","TORTURA","12"
"2004","Marzo","FRAUDE","12"
"2004","Junio","DENUNCIA DE HECHOS","12"
"2004","Julio","TORTURA","12"
"2004","Febrero","DENUNCIA DE HECHOS","9"
"2004","Enero","DENUNCIA DE HECHOS","9"
"2004","Diciembre","FRAUDE","12"
"2004","Agosto","FRAUDE","9"
"2004","Abril","ABANDONO DE PERSONA","3"
"2005","Septiembre","TORTURA","15"
"2005","Octubre","INSOLVENCIA ALIMENTARIA","6"
"2005","Noviembre","INSOLVENCIA ALIMENTARIA","9"
"2005","Mayo","TORTURA","12"
"2005","Marzo","TORTURA","9"
"2005","Junio","DENUNCIA DE HECHOS","12"
"2005","Julio","TORTURA","15"
"2005","Febrero","DENUNCIA DE HECHOS","9"
"2005","Enero","ABUSO SEXUAL","6"
"2005","Diciembre","DENUNCIA DE HECHOS","15"
"2005","Agosto","FRAUDE","15"
"2005","Abril","DENUNCIA DE HECHOS","12"
"2006","Septiembre","INSOLVENCIA ALIMENTARIA","15"
"2006","Octubre","INSOLVENCIA ALIMENTARIA","15"
"2006","Noviembre","FRAUDE","21"
"2006","Mayo","TORTURA","9"
"2006","Marzo","DENUNCIA DE HECHOS","18"
"2006","Junio","FRAUDE","18"
"2006","Julio","TORTURA","9"
"2006","Febrero","FRAUDE","6"
"2006","Enero","DENUNCIA DE HECHOS","24"
"2006","Diciembre","FRAUDE","15"
"2006","Agosto","TORTURA","15"
"2006","Abril","INSOLVENCIA ALIMENTARIA","12"
"2007","Septiembre","FRAUDE","21"
"2007","Octubre","FRAUDE","9"
"2007","Noviembre","FRAUDE","18"
"2007","Mayo","FRAUDE","15"
"2007","Marzo","VIOLENCIA FAMILIAR","6"
"2007","Junio","FRAUDE","12"
"2007","Julio","FRAUDE","27"
"2007","Febrero","DENUNCIA DE HECHOS","6"
"2007","Enero","TORTURA","15"
"2007","Diciembre","FRAUDE","27"
"2007","Agosto","FRAUDE","15"
"2007","Abril","DENUNCIA DE HECHOS","12"
"2008","Septiembre","INSOLVENCIA ALIMENTARIA","12"
"2008","Octubre","TORTURA","15"
"2008","Noviembre","FRAUDE","27"
"2008","Mayo","TORTURA","18"
"2008","Marzo","FRAUDE","18"
"2008","Junio","FRAUDE","24"
"2008","Julio","FRAUDE","18"
"2008","Febrero","DENUNCIA DE HECHOS","18"
"2008","Enero","FRAUDE","21"
"2008","Diciembre","FRAUDE","21"
"2008","Agosto","FRAUDE","45"
"2008","Abril","TORTURA","33"
"2009","Septiembre","TORTURA","18"
"2009","Octubre","FRAUDE","24"
"2009","Noviembre","TORTURA","18"
"2009","Mayo","FRAUDE","18"
"2009","Marzo","FRAUDE","18"
"2009","Junio","TORTURA","39"
"2009","Julio","TORTURA","18"
"2009","Febrero","FRAUDE","27"
"2009","Enero","FRAUDE","27"
"2009","Diciembre","DENUNCIA DE HECHOS","24"
"2009","Agosto","FRAUDE","30"
"2009","Abril","FRAUDE","18"
"2010","Septiembre","FRAUDE","36"
"2010","Octubre","FRAUDE","69"
"2010","Noviembre","FRAUDE","30"
"2010","Mayo","FRAUDE","45"
"2010","Marzo","FRAUDE","21"
"2010","Junio","FRAUDE","57"
"2010","Julio","FRAUDE","51"
"2010","Febrero","FRAUDE","36"
"2010","Enero","FRAUDE","57"
"2010","Diciembre","FRAUDE","99"
"2010","Agosto","FRAUDE","42"
"2010","Abril","FRAUDE","39"
"2011","Septiembre","DENUNCIA DE HECHOS","57"
"2011","Octubre","FRAUDE","81"
"2011","Noviembre","FRAUDE","72"
"2011","Mayo","FRAUDE","57"
"2011","Marzo","FRAUDE","60"
"2011","Junio","FRAUDE","42"
"2011","Julio","FRAUDE","66"
"2011","Febrero","FRAUDE","54"
"2011","Enero","FRAUDE","96"
"2011","Diciembre","FRAUDE","63"
"2011","Agosto","FRAUDE","51"
"2011","Abril","FRAUDE","48"
"2012","Septiembre","FRAUDE","84"
"2012","Octubre","FRAUDE","126"
"2012","Noviembre","FRAUDE","99"
"2012","Mayo","FRAUDE","135"
"2012","Marzo","FRAUDE","108"
"2012","Junio","FRAUDE","90"
"2012","Julio","FRAUDE","84"
"2012","Febrero","FRAUDE","90"
"2012","Enero","DENUNCIA DE HECHOS","90"
"2012","Diciembre","FRAUDE","96"
"2012","Agosto","FRAUDE","81"
"2012","Abril","FRAUDE","51"
"2013","Septiembre","FRAUDE","171"
"2013","Octubre","FRAUDE","177"
"2013","Noviembre","FRAUDE","159"
"2013","Mayo","FRAUDE","120"
"2013","Marzo","FRAUDE","108"
"2013","Junio","FRAUDE","168"
"2013","Julio","FRAUDE","159"
"2013","Febrero","FRAUDE","81"
"2013","Enero","FRAUDE","165"
"2013","Diciembre","FRAUDE","168"
"2013","Agosto","FRAUDE","123"
"2013","Abril","FRAUDE","126"
"2014","Septiembre","FRAUDE","285"
"2014","Octubre","FRAUDE","435"
"2014","Noviembre","FRAUDE","339"
"2014","Mayo","FRAUDE","429"
"2014","Marzo","FRAUDE","291"
"2014","Junio","FRAUDE","267"
"2014","Julio","FRAUDE","315"
"2014","Febrero","FRAUDE","186"
"2014","Enero","FRAUDE","246"
"2014","Diciembre","FRAUDE","405"
"2014","Agosto","FRAUDE","258"
"2014","Abril","FRAUDE","264"
"2015","Septiembre","FRAUDE","963"
"2015","Octubre","FRAUDE","1272"
"2015","Noviembre","FRAUDE","1272"
"2015","Mayo","FRAUDE","690"
"2015","Marzo","FRAUDE","645"
"2015","Junio","FRAUDE","807"
"2015","Julio","FRAUDE","777"
"2015","Febrero","FRAUDE","573"
"2015","Enero","FRAUDE","609"
"2015","Diciembre","FRAUDE","1665"
"2015","Agosto","FRAUDE","879"
"2015","Abril","FRAUDE","498"
"2016","Septiembre","VIOLENCIA FAMILIAR","4500"
"2016","Octubre","VIOLENCIA FAMILIAR","4431"
"2016","Noviembre","VIOLENCIA FAMILIAR","3897"
"2016","Mayo","VIOLENCIA FAMILIAR","5358"
"2016","Marzo","VIOLENCIA FAMILIAR","4812"
"2016","Junio","VIOLENCIA FAMILIAR","4500"
"2016","Julio","ROBO DE OBJETOS","4572"
"2016","Febrero","VIOLENCIA FAMILIAR","4497"
"2016","Enero","VIOLENCIA FAMILIAR","4260"
"2016","Diciembre","VIOLENCIA FAMILIAR","4020"
"2016","Agosto","ROBO DE OBJETOS","4848"
"2016","Abril","VIOLENCIA FAMILIAR","5007"
"2017","Septiembre","VIOLENCIA FAMILIAR","4683"
"2017","Octubre","VIOLENCIA FAMILIAR","4794"
"2017","Noviembre","VIOLENCIA FAMILIAR","4287"
"2017","Mayo","VIOLENCIA FAMILIAR","5094"
"2017","Marzo","VIOLENCIA FAMILIAR","4674"
"2017","Junio","VIOLENCIA FAMILIAR","4959"
"2017","Julio","VIOLENCIA FAMILIAR","4614"
"2017","Febrero","VIOLENCIA FAMILIAR","4140"
"2017","Enero","VIOLENCIA FAMILIAR","4323"
"2017","Diciembre","VIOLENCIA FAMILIAR","4293"
"2017","Agosto","VIOLENCIA FAMILIAR","5076"
"2017","Abril","ROBO DE OBJETOS","4929"
"2018","Septiembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6369"
"2018","Octubre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6945"
"2018","Noviembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","6318"
"2018","Mayo","VIOLENCIA FAMILIAR","5601"
"2018","Marzo","VIOLENCIA FAMILIAR","5478"
"2018","Junio","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5331"
"2018","Julio","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5607"
"2018","Febrero","VIOLENCIA FAMILIAR","4764"
"2018","Enero","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","4704"
"2018","Diciembre","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","4569"
"2018","Agosto","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","5961"
"2018","Abril","VIOLENCIA FAMILIAR","5469"
"NA","NA","DENUNCIA DE HECHOS","63"
